GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1684,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-45.3,-23.16,0.0,-0.0,26.73,-46.22,79.78,-68.46,60.29,-8.17
1735,0.0,0.0,0.0,0.0,0.0,-0.0,-38.12,-29.47,-0.0,0.0,28.06,-46.89,78.96,-67.59,60.12,-7.47
1786,0.0,0.0,0.0,0.0,0.0,0.0,-50.9,-21.44,0.0,0.0,24.37,-49.98,83.04,-72.33,57.43,-14.9
1837,-0.0,0.0,0.0,-0.0,0.0,0.0,-45.15,-29.53,0.0,-0.0,30.3,-47.8,83.29,-74.68,65.8,-8.88
1888,0.0,0.0,-0.0,0.0,-0.0,0.0,-41.93,-29.35,0.0,-0.0,27.19,-47.42,80.02,-71.28,59.79,-11.49
1939,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-45.64,-30.33,0.0,0.0,31.34,-44.13,78.45,-75.96,65.66,-10.3
1990,0.0,0.0,0.0,-0.0,0.0,-0.0,-47.62,-16.75,0.0,-0.0,19.72,-46.88,79.35,-64.37,52.19,-12.18
2041,0.0,0.0,0.0,0.0,-0.0,0.0,-40.57,-35.93,-0.0,-0.0,32.62,-47.75,79.87,-76.5,64.73,-11.77
2092,-0.0,0.0,0.0,-0.0,-0.0,0.0,-37.71,-29.79,-0.0,-0.0,26.49,-47.86,82.02,-67.5,60.66,-6.85
2143,0.0,0.0,-0.0,0.0,0.0,0.0,-47.49,-28.34,0.0,0.0,30.18,-48.46,79.99,-75.83,61.71,-14.12
2194,0.0,0.0,-0.0,-0.0,-0.0,0.0,-41.38,-28.69,-0.0,0.0,27.86,-45.68,77.39,-70.07,59.56,-10.51
2245,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-37.4,-41.51,-0.0,0.0,37.21,-43.96,76.94,-78.91,70.19,-8.73
2296,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-49.38,-31.04,-0.0,-0.0,28.92,-47.6,79.82,-80.42,61.14,-19.28
2347,-0.0,0.0,-0.0,0.0,-0.0,0.0,-45.1,-37.57,0.0,0.0,38.01,-47.92,81.57,-82.68,71.66,-11.02
2398,-0.0,-0.0,0.0,-0.0,0.0,0.0,-45.76,-28.01,-0.0,0.0,27.37,-46.13,78.45,-73.77,59.69,-14.07
2449,0.0,-0.0,-0.0,0.0,0.0,0.0,-39.88,-37.47,0.0,-0.0,34.48,-47.6,80.83,-77.35,67.71,-9.64
2500,-0.0,0.0,-0.0,0.0,0.0,-0.0,-43.92,-30.7,-0.0,0.0,28.99,-47.11,80.03,-74.62,61.92,-12.7
2551,-0.0,0.0,-0.0,0.0,-0.0,0.0,-38.12,-38.9,-0.0,0.0,35.96,-46.95,79.55,-77.01,68.56,-8.45
2602,-0.0,0.0,0.0,0.0,0.0,0.0,-48.33,-40.8,0.0,-0.0,41.28,-48.74,81.31,-89.13,73.85,-15.28
2653,0.0,-0.0,0.0,0.0,0.0,-0.0,-46.98,-28.79,-0.0,-0.0,29.17,-44.25,77.58,-75.77,62.49,-13.28
2704,0.0,0.0,0.0,-0.0,0.0,-0.0,-36.47,-42.27,0.0,-0.0,40.55,-49.16,81.23,-78.74,72.62,-6.12
2755,-0.0,-0.0,0.0,0.0,-0.0,0.0,-43.6,-29.18,0.0,-0.0,26.02,-46.58,80.71,-72.78,60.15,-12.62
2806,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-29.85,-32.88,0.0,-0.0,28.18,-47.76,79.95,-62.72,60.37,-2.36
2857,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-42.6,-29.69,-0.0,-0.0,28.22,-47.49,81.63,-72.3,62.35,-9.94
2908,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-44.38,-8.54,0.0,-0.0,13.84,-45.21,80.28,-52.92,48.91,-4.01
2959,0.0,-0.0,0.0,0.0,-0.0,-0.0,-44.0,-0.7,0.0,-0.0,3.84,-44.36,77.12,-44.69,36.6,-8.09
3010,0.0,-0.0,0.0,0.0,-0.0,0.0,-41.12,-10.43,0.0,-0.0,11.86,-43.15,74.15,-51.55,42.86,-8.69
3061,0.0,0.0,-0.0,-0.0,-0.0,0.0,-43.36,-4.28,0.0,0.0,8.48,-44.66,76.72,-47.64,40.54,-7.1
3112,-0.0,0.0,0.0,-0.0,0.0,0.0,-44.61,-8.93,0.0,0.0,12.41,-44.76,78.52,-53.55,46.17,-7.38
3163,-0.0,0.0,-0.0,0.0,0.0,0.0,-49.36,-6.77,0.0,-0.0,11.0,-45.32,78.5,-56.13,44.18,-11.95
3214,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-46.13,-10.19,0.0,0.0,15.59,-42.7,75.62,-56.32,48.51,-7.81
3265,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-42.37,-19.97,0.0,-0.0,22.38,-42.93,76.29,-62.34,55.74,-6.6
3316,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-44.24,-21.75,-0.0,-0.0,22.79,-45.41,78.31,-65.98,55.69,-10.3
3367,-0.0,0.0,0.0,0.0,0.0,-0.0,-43.7,-14.76,-0.0,-0.0,17.76,-45.26,76.25,-58.46,48.75,-9.7
3418,0.0,0.0,-0.0,0.0,0.0,0.0,-45.63,-41.91,-0.0,0.0,38.73,-45.15,77.77,-87.54,71.35,-16.19
3469,0.0,-0.0,0.0,0.0,-0.0,0.0,-48.46,-16.03,-0.0,-0.0,18.55,-44.63,77.94,-64.49,51.86,-12.63
3520,0.0,0.0,-0.0,-0.0,0.0,-0.0,-43.74,-6.75,0.0,0.0,11.16,-44.44,77.92,-50.49,44.64,-5.85
3571,-0.0,0.0,0.0,0.0,0.0,-0.0,-43.89,-7.6,-0.0,-0.0,11.0,-41.58,73.11,-51.49,42.54,-8.95
3622,0.0,0.0,0.0,-0.0,-0.0,0.0,-36.94,-18.85,-0.0,-0.0,16.42,-40.77,70.77,-55.8,46.42,-9.37
3673,-0.0,-0.0,-0.0,0.0,0.0,0.0,-30.86,-21.06,-0.0,0.0,19.71,-41.97,73.78,-51.92,51.53,-0.39
